advisories-ncsc-nl | NCSC-NL — Security Advisories (RSS) | https://advisories.ncsc.nl/rss/advisories | [ch-eu,gov,active-breaking,vulns] | HIGH | rss
anssi-fr | ANSSI / CERT-FR | https://www.cert.ssi.gouv.fr/ | [ch-eu,gov,active-breaking] | HIGH | webfetch
bsi-de | BSI Germany — CERT-Bund WID (RSS) | https://wid.cert-bund.de/content/public/securityAdvisory/rss | [ch-eu,gov,active-breaking,vulns] | HIGH | rss
cert-at | CERT.at (Austria) | https://www.cert.at/en/ | [ch-eu,gov] | HIGH | webfetch
cert-eu | CERT-EU | https://cert.europa.eu/publications/security-advisories | [ch-eu,gov,active-breaking] | HIGH | webfetch
cert-pl | CERT Polska / NASK | https://cert.pl/en/news/ | [ch-eu,gov,active-breaking] | HIGH | webfetch
cisa-advisories | CISA Cybersecurity Advisories | https://www.cisa.gov/news-events/cybersecurity-advisories | [active-breaking,gov] | HIGH | bridge
cisa-directives | CISA Directives | https://www.cisa.gov/news-events/directives | [gov,active-breaking] | HIGH | bridge
cisa-news | CISA News | https://www.cisa.gov/news-events/news | [gov,news] | HIGH | bridge
citizen-lab | Citizen Lab | https://citizenlab.ca/category/research/ | [research,gov] | HIGH | webfetch
cnil-fr | CNIL France | https://www.cnil.fr/en/news | [breaches,ch-eu] | HIGH | webfetch
compass-security | Compass Security Blog | https://blog.compass-security.com/ | [ch-eu,research] | HIGH | webfetch
crowdstrike | CrowdStrike Threat Research | https://www.crowdstrike.com/blog/category/counter-adversary-operations/ | [gov,research] | HIGH | webfetch
csirt-acn-it | CSIRT Italia (ACN) — Alert e bollettini | https://www.acn.gov.it/portale/en/csirt-italia/alert-e-bollettini | [ch-eu,gov] | HIGH | bridge
edpb | European Data Protection Board | https://www.edpb.europa.eu/news/news_en | [breaches,ch-eu] | HIGH | webfetch
enisa | ENISA | https://www.enisa.europa.eu/news | [ch-eu,gov] | HIGH | webfetch
google-tag | Google Threat Analysis Group (TAG) | https://blog.google/threat-analysis-group/ | [research,gov] | HIGH | rss
govcert-at | GovCERT Austria | https://www.govcert.gv.at/en/ | [ch-eu,gov] | MEDIUM | webfetch
heise-sec | heise Security | https://www.heise.de/security/ | [ch-eu,news] | HIGH | webfetch
ibm-xforce | IBM X-Force | https://www.ibm.com/think/x-force | [research,gov] | MEDIUM | webfetch
ico-uk | UK ICO breach notifications | https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/ | [breaches,ch-eu] | HIGH | bridge
infoguard-ch | InfoGuard | https://www.infoguard.ch/en/blog | [ch-eu,research] | HIGH | webfetch
inside-it-ch | Inside IT Switzerland | https://www.inside-it.ch/ | [ch-eu,news] | HIGH | bridge
jpcert | JPCERT/CC (Japan) | https://www.jpcert.or.jp/english/index.html | [gov,active-breaking] | HIGH | webfetch
kudelski-security | Kudelski Security Research | https://kudelskisecurity.com/research-blog | [ch-eu,research] | HIGH | webfetch
le-monde-info | Le Monde Informatique | https://www.lemondeinformatique.fr/ | [ch-eu,news] | HIGH | webfetch
mandiant-gtig | Google Cloud / Mandiant (GTIG) | https://cloud.google.com/blog/topics/threat-intelligence | [gov,research] | HIGH | webfetch
msft-ti | Microsoft Threat Intelligence | https://www.microsoft.com/en-us/security/blog/topic/threat-intelligence/ | [gov,research] | HIGH | webfetch
ncc-research | NCC Group Research | https://www.nccgroup.com/research-blog/ | [ch-eu,research] | HIGH | bridge
ncsc-ch-focus | NCSC Switzerland — Im Fokus | https://www.ncsc.admin.ch/ncsc/de/home/aktuell/im-fokus.html | [ch-eu,gov] | HIGH | webfetch
ncsc-ch-incidents | NCSC Switzerland — Aktuelle Vorfälle | https://www.ncsc.admin.ch/ncsc/de/home/aktuell/aktuelle-vorfaelle.html | [ch-eu,active-breaking,gov] | HIGH | webfetch
ncsc-ch-security-hub | NCSC Switzerland — Cyber Security Hub (CSH) / GovCERT.ch | https://security-hub.ncsc.admin.ch/#/dashboard | [ch-eu,active-breaking,gov,vulns] | HIGH | api
ncsc-ie | NCSC Ireland | https://www.ncsc.gov.ie/news/ | [ch-eu,gov] | HIGH | webfetch
ncsc-uk | NCSC UK | https://www.ncsc.gov.uk/section/keep-up-to-date/reports-advisories | [gov,active-breaking] | HIGH | webfetch
oneconsult-ch | OneConsult | https://www.oneconsult.com/en/blog/ | [ch-eu,research] | HIGH | webfetch
prodaft | PRODAFT — Reports | https://www.prodaft.com/reports | [ch-eu,research] | HIGH | bridge
recordedfuture-insikt | Recorded Future Insikt Group | https://www.recordedfuture.com/research/insikt-group | [research,gov] | HIGH | webfetch
safeonweb-be | Centre for Cybersecurity Belgium (CCB) — Safe On Web | https://safeonweb.be/en | [ch-eu,gov] | HIGH | webfetch
scip-ch | scip AG | https://www.scip.ch/?labs | [ch-eu,research] | HIGH | webfetch
sekoia | Sekoia.io blog | https://blog.sekoia.io/ | [ch-eu,research] | HIGH | webfetch
truesec | Truesec | https://www.truesec.com/hub/blog | [ch-eu,research] | HIGH | webfetch
us-treasury-ofac | US Treasury OFAC — Recent Actions | https://ofac.treasury.gov/recent-actions | [sanctions,gov] | HIGH | webfetch
withsecure-labs | WithSecure Labs | https://labs.withsecure.com/publications | [ch-eu,research] | MEDIUM | webfetch
