advisories-ncsc-nl	NCSC-NL — Security Advisories (RSS)	ch-eu,gov,active-breaking,vulns
anssi-fr	ANSSI / CERT-FR	ch-eu,gov,active-breaking
bsi-de	BSI Germany — CERT-Bund WID (RSS)	ch-eu,gov,active-breaking,vulns
cert-at	CERT.at (Austria)	ch-eu,gov
cert-eu	CERT-EU	ch-eu,gov,active-breaking
cert-pl	CERT Polska / NASK	ch-eu,gov,active-breaking
cisa-advisories	CISA Cybersecurity Advisories	active-breaking,gov
cisa-directives	CISA Directives	gov,active-breaking
cisa-news	CISA News	gov,news
citizen-lab	Citizen Lab	research,gov
cnil-fr	CNIL France	breaches,ch-eu
compass-security	Compass Security Blog	ch-eu,research
crowdstrike	CrowdStrike Threat Research	gov,research
csirt-acn-it	CSIRT Italia (ACN) — Alert e bollettini	ch-eu,gov
edpb	European Data Protection Board	breaches,ch-eu
enisa	ENISA	ch-eu,gov
google-tag	Google Threat Analysis Group (TAG)	research,gov
govcert-at	GovCERT Austria	ch-eu,gov
heise-sec	heise Security	ch-eu,news
ibm-xforce	IBM X-Force	research,gov
ico-uk	UK ICO breach notifications	breaches,ch-eu
infoguard-ch	InfoGuard	ch-eu,research
inside-it-ch	Inside IT Switzerland	ch-eu,news
jpcert	JPCERT/CC (Japan)	gov,active-breaking
kudelski-security	Kudelski Security Research	ch-eu,research
le-monde-info	Le Monde Informatique	ch-eu,news
mandiant-gtig	Google Cloud / Mandiant (GTIG)	gov,research
msft-ti	Microsoft Threat Intelligence	gov,research
ncc-research	NCC Group Research	ch-eu,research
ncsc-ch-focus	NCSC Switzerland — Im Fokus	ch-eu,gov
ncsc-ch-incidents	NCSC Switzerland — Aktuelle Vorfälle	ch-eu,active-breaking,gov
ncsc-ch-security-hub	NCSC Switzerland — Cyber Security Hub (CSH) / GovCERT.ch	ch-eu,active-breaking,gov,vulns
ncsc-ie	NCSC Ireland	ch-eu,gov
ncsc-uk	NCSC UK	gov,active-breaking
oneconsult-ch	OneConsult	ch-eu,research
prodaft	PRODAFT — Reports	ch-eu,research
recordedfuture-insikt	Recorded Future Insikt Group	research,gov
safeonweb-be	Centre for Cybersecurity Belgium (CCB) — Safe On Web	ch-eu,gov
scip-ch	scip AG	ch-eu,research
sekoia	Sekoia.io blog	ch-eu,research
truesec	Truesec	ch-eu,research
us-treasury-ofac	US Treasury OFAC — Recent Actions	sanctions,gov
withsecure-labs	WithSecure Labs	ch-eu,research
