advisories-ncsc-nl	NCSC-NL — Security Advisories (RSS)	ch-eu,gov,active-breaking,vulns
anssi-fr	ANSSI / CERT-FR	ch-eu,gov,active-breaking
apple-security	Apple Security Advisories	vulns,vendor-psirt
bsi-de	BSI Germany — CERT-Bund WID (RSS)	ch-eu,gov,active-breaking,vulns
cert-eu	CERT-EU	ch-eu,gov,active-breaking
cert-pl	CERT Polska / NASK	ch-eu,gov,active-breaking
chrome-releases	Chrome Releases (Security Updates)	vulns,vendor-psirt
cisa-advisories	CISA Cybersecurity Advisories	active-breaking,gov
cisa-directives	CISA Directives	gov,active-breaking
cisa-kev	CISA Known Exploited Vulnerabilities Catalog	vulns,active-breaking
cisco-psirt	Cisco PSIRT (RSS)	vulns,vendor-psirt
greynoise	GreyNoise Labs	vulns,research
jpcert	JPCERT/CC (Japan)	gov,active-breaking
mozilla-mfsa	Mozilla Foundation Security Advisories	vulns,vendor-psirt
ncsc-ch-incidents	NCSC Switzerland — Aktuelle Vorfälle	ch-eu,active-breaking,gov
ncsc-ch-security-hub	NCSC Switzerland — Cyber Security Hub (CSH) / GovCERT.ch	ch-eu,active-breaking,gov,vulns
ncsc-uk	NCSC UK	gov,active-breaking
oracle-cpu	Oracle Critical Patch Updates	vulns,vendor-psirt
projectzero	Google Project Zero	vulns,research
rapid7-research	Rapid7 Research	vulns,research
shadowserver	Shadowserver Foundation — News & Insights	research,active-breaking
tenable-research	Tenable Research	vulns,research
trustwave-spiderlabs	LevelBlue (formerly Trustwave) SpiderLabs	research,vulns
vulncheck	VulnCheck	vulns
watchtowr	watchTowr Labs	vulns,research
wiz-blog	Wiz Research Blog	vulns,research
zdi	Zero Day Initiative	vulns,research
