bleepingcomputer	BleepingComputer	news,breaches
cisa-news	CISA News	gov,news
cnil-fr	CNIL France	breaches,ch-eu
cyberscoop	CyberScoop	news
darkreading	Dark Reading (RSS)	news
databreaches-net	DataBreaches.net	breaches
edpb	European Data Protection Board	breaches,ch-eu
hackernews	The Hacker News (RSS)	news
heise-sec	heise Security	ch-eu,news
helpnetsecurity	Help Net Security	news
ico-uk	UK ICO breach notifications	breaches,ch-eu
infosec-magazine	Infosecurity Magazine (RSS)	news
inside-it-ch	Inside IT Switzerland	ch-eu,news
krebs	Krebs on Security	news
le-monde-info	Le Monde Informatique	ch-eu,news
malwarebytes	Malwarebytes Labs	news,research
risky-biz-news	Risky Biz News (Newsletter / Catalin Cimpanu)	news
sans-isc	SANS Internet Storm Center	research,news
sans-newsbites	SANS NewsBites	news
schneier	Schneier on Security	news
sec-disclosures-edgar	SEC EDGAR (8-K cyber filings)	breaches
securityaffairs	Security Affairs	news
securityweek	SecurityWeek	news
therecord	The Record (Recorded Future News)	news
troyhunt	Troy Hunt — Have I Been Pwned	news,breaches
