- [essential] advisories-ncsc-nl | NCSC-NL — Security Advisories (RSS) | https://advisories.ncsc.nl/rss/advisories | fetch=rss | rel=A | cat=ch-eu,gov,active-breaking,vulns | lang=en,nl
- [essential] anssi-fr | ANSSI / CERT-FR | https://www.cert.ssi.gouv.fr/ | fetch=api | rel=A | cat=ch-eu,gov,active-breaking | lang=fr,en
- [essential] bsi-de | BSI Germany — CERT-Bund WID (RSS) | https://wid.cert-bund.de/content/public/securityAdvisory/rss | fetch=rss | rel=A | cat=ch-eu,gov,active-breaking,vulns | lang=de,en
- [essential] cert-eu | CERT-EU | https://cert.europa.eu/publications/security-advisories | fetch=api | rel=A | cat=ch-eu,gov,active-breaking,vulns | lang=en
- [essential] cert-pl | CERT Polska / NASK | https://cert.pl/en/news/ | fetch=webfetch | rel=A | cat=ch-eu,gov,active-breaking | lang=en,pl
- [essential] cisa-advisories | CISA Cybersecurity Advisories | https://www.cisa.gov/news-events/cybersecurity-advisories rss=https://www.cisa.gov/cybersecurity-advisories/all.xml | fetch=bridge | rel=A | cat=active-breaking,gov | lang=en
- [essential] cisa-directives | CISA Directives | https://www.cisa.gov/news-events/directives | fetch=bridge | rel=A | cat=gov,active-breaking | lang=en
- [essential] cisa-kev | CISA Known Exploited Vulnerabilities Catalog | https://www.cisa.gov/known-exploited-vulnerabilities-catalog | fetch=api | rel=A | cat=vulns,active-breaking | lang=en
- [essential] enisa-euvd | ENISA EU Vulnerability Database (EUVD) | https://euvd.enisa.europa.eu/ | fetch=api | rel=A | cat=vulns,active-breaking | lang=en
- [essential] ncsc-ch-security-hub | NCSC Switzerland — Cyber Security Hub (CSH) / GovCERT.ch | https://security-hub.ncsc.admin.ch/#/dashboard | fetch=api | rel=A | cat=ch-eu,active-breaking,gov,vulns | lang=de,fr,it,en
- [essential] ncsc-uk | NCSC UK | https://www.ncsc.gov.uk/section/keep-up-to-date/reports-advisories rss=https://www.ncsc.gov.uk/api/1/services/v1/all-rss-feed.xml | fetch=bridge | rel=A | cat=gov,active-breaking | lang=en
- [standard] depthfirst | depthfirst.com (security research blog) | https://depthfirst.com | fetch=webfetch | rel=C | cat=research,vulns | lang=en
- [standard] morphisec | Morphisec Labs | https://www.morphisec.com/blog/ | fetch=webfetch | rel=C | cat=research,vulns | lang=en
- [standard] resecurity | Resecurity | https://www.resecurity.com/blog | fetch=webfetch | rel=C | cat=research,vulns | lang=en
- [standard] shadowserver | Shadowserver Foundation — News & Insights | https://www.shadowserver.org/news-insights/ | fetch=webfetch | rel=B | cat=research,active-breaking | lang=en
- [standard] snyk-research | Snyk Security Research | https://snyk.io/blog/ | fetch=rss | rel=B | cat=vulns,research | lang=en
- [standard] socprime | SOC Prime | https://socprime.com/blog/ rss=https://socprime.com/blog/feed/ | fetch=rss | rel=C | cat=research,vulns | lang=en
- [standard] truesec | Truesec | https://www.truesec.com/hub/blog | fetch=webfetch | rel=B | cat=ch-eu,research,vulns | lang=en
- [standard] trustwave-spiderlabs | LevelBlue (formerly Trustwave) SpiderLabs | https://www.levelblue.com/blogs/spiderlabs-blog | fetch=webfetch | rel=B | cat=research,vulns | lang=en
- [standard] infoguard-labs | InfoGuard Labs (Switzerland) | https://labs.infoguard.ch/ | fetch=webfetch | rel=B | cat=research,ch-eu,vulns | lang=en
- [standard] sonatype | Sonatype (Software Supply Chain Research) | https://www.sonatype.com/blog | fetch=rss | rel=B | cat=research,vulns | lang=en
- [standard] 0patch-blog | ACROS Security / 0patch | https://blog.0patch.com/ | fetch=rss | rel=B | cat=vulns,research | lang=en
- [standard] apple-security | Apple Security Advisories | https://support.apple.com/en-us/100100 | fetch=webfetch | rel=A | cat=vulns,vendor-psirt | lang=en
- [standard] censys-blog | Censys Research | https://censys.com/resources/blog/ | fetch=rss | rel=B | cat=research,vulns | lang=en
- [standard] cisco-psirt | Cisco PSIRT (RSS) | https://sec.cloudapps.cisco.com/security/center/psirtrss20/CiscoSecurityAdvisory.xml | fetch=rss | rel=A | cat=vulns,vendor-psirt | lang=en
