url	status	note
https://www.aikido.dev/blog/dirty-frag	live	verified quotes
https://access.redhat.com/security/vulnerabilities/RHSB-2026-003	live	verified quotes
https://access.redhat.com/security/cve/cve-2026-43284	live	CVSS 7.8 confirmed
https://access.redhat.com/security/cve/cve-2026-43500	live	CVSS 7.8 confirmed
https://cveawg.mitre.org/api/cve/CVE-2026-46300	live	CVSS 7.8 confirmed, description quote confirmed
https://api.first.org/data/v1/epss?cve=CVE-2026-43284,CVE-2026-43500	live	EPSS scores confirmed (date=2026-09-05, entry cites 2026-09-04)
https://api.first.org/data/v1/epss?cve=CVE-2026-46300	live	EPSS score confirmed
https://github.com/advisories/GHSA-v4p8-mg3p-g94g	partial	nav-only via extract/url; api.github.com/advisories/... used instead
https://api.github.com/advisories/GHSA-v4p8-mg3p-g94g	live	CVSS v3=8.8 v4=8.7 confirmed, evidence quote confirmed
https://horizon3.ai/attack-research/vulnerabilities/cve-2026-42271-chained-with-cve-2026-48710/	live	timeline confirmed
https://www.cisa.gov/known-exploited-vulnerabilities-catalog (cisa-kev bridge)	live	CVE-2026-42271 dateAdded 2026-06-08 confirmed; CVE-2026-48710 dateAdded 2026-09-02 confirmed
https://securelist.com/genielocker-ransomware-for-windows-linux-and-esxi/120843/	live	quotes confirmed verbatim
https://securelist.com/toy-ghouls-new-hivemq-and-element-backdoors/121270/	live	quotes confirmed verbatim; alias list differs from entry's synthesis (Labubu absent this instance)
https://www.nzz.ch/wirtschaft/nach-hackerangriff-in-liechtenstein-wie-sicher-sind-heikle-finanzdaten-beim-bund-ld.10018419	live	quotes confirmed verbatim (German + translation)
https://exxpress.at/economy/31-000-firmen-betroffen-schweiz-haelt-trotz-hacker-warnung-an-register-fest/	live	quotes confirmed verbatim
https://insideparadeplatz.ch/2026/08/31/banken-lobby-gegen-keller-sutter-striptease-datenbank/	live	quote confirmed verbatim (English-in-German-article)
https://openai.com/index/hugging-face-incident-and-the-road-ahead/	live	all quotes confirmed verbatim via jina
https://www.zataz.com/deux-suspects-interpelles-apres-le-piratage-du-fisc/	live	quotes and facts confirmed verbatim
https://www.zataz.com/zerobytes-deux-arrestations-et-des-alias-a-demeler/	live	facts confirmed; internal source ambiguity on xMetah correctly flagged by entry
https://www.zataz.com/cybernox-multiplie-les-revendications-de-fuites-en-france/	live	quote and figure 3,032,386 confirmed verbatim
https://www.huntress.com/blog/huntress-dprk-remote-worker-investigation	live	all facts/quotes/timeline confirmed verbatim
https://securityaffairs.com/198447/data-breach/crooks-behind-manchester-airports-group-hack-leaked-data-of-8-8-million-people.html	live	all figures confirmed verbatim
https://www.enisa.europa.eu/topics/product-security/single-reporting-platform-srp/frequently-asked-questions	live	substance confirmed; page now dated "Updated 04 Sep 2026" and wording of several quotes has drifted from entry's verbatim citations
https://www.heise.de/news/Exchange-Sicherheitsluecke-85-Prozent-der-On-Prem-Server-in-Deutschland-anfaellig-11434785.html	live	quotes confirmed verbatim
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-62911	blocked	JS-required SPA, could not extract text this pass
https://www.papercut.com/kb/Main/security-bulletin-27-aug-2026-urgent-security-advisory/	live	CVSS/vectors/quotes/IOC-chain all confirmed verbatim
https://www.heise.de/news/Berliner-Senat-zahlt-nicht-sensible-Daten-jetzt-im-Darknet-11442286.html	live	quotes confirmed verbatim
https://www.heise.de/news/Kehrtwende-bei-Cybersicherheit-Bund-gibt-Plan-fuer-BSI-Grundgesetzaenderung-auf-11440646.html	live	quotes confirmed verbatim
https://www.netspi.com/blog/executive-blog/critical-vulnerability/oracle-weblogic-server-proxy-plugin-cve-2026-21962-overview-takeaways/	live	quote/CVSS/affected versions confirmed verbatim
https://www.securityweek.com/cisa-warns-of-exploited-oracle-weblogic-vulnerability/	live	quotes confirmed verbatim
https://socradar.io/blog/snowlight-government-chinese-campaign/	live	victimology table numbers (119/91/1, 1866/1563/16, 80/80/80) confirmed exactly
https://github.com/go-gitea/gitea/security/advisories/GHSA-rcr6-4jqh-j84m	live	quotes confirmed verbatim via jina
https://www.helpnetsecurity.com/2026/08/26/gitea-cve-2026-60004-exploited-in-the-wild/	live	quotes confirmed verbatim
https://www.microsoft.com/en-us/security/blog/2026/08/26/when-ai-infrastructure-becomes-target-securing-gateways-control-points/	live	all three case-study quotes confirmed verbatim
https://github.com/Kludex/starlette/security/advisories/GHSA-86qp-5c8j-p5mr	partial	nav-only via extract; api.github.com/advisories/... used instead
https://api.github.com/advisories/GHSA-86qp-5c8j-p5mr	live	CVSS v3.1=6.5 confirmed, contradicts sibling entry's cvss:n/a for same CVE
https://vulnerability.circl.lu/vuln/CVE-2026-49869	live	CVSS 10.0 Critical confirmed, fixed versions confirmed
https://www.inside-it.ch/hwz-daten-landen-im-darkweb-20260831	blocked	Vercel bot-checkpoint HTTP 429 on extract/url/jina all three rungs
https://www.netzwoche.ch/news/2026-08-26/hacker-greifen-hwz-daten-ueber-externen-dienstleister-ab	live	quote confirmed verbatim
