- advisories-ncsc-nl | NCSC-NL — Security Advisories (RSS) | https://advisories.ncsc.nl/rss/advisories | reliability=HIGH | cat=ch-eu,gov,active-breaking,vulns | fetch=rss | notes: Dutch NCSC machine-readable advisory feed (added 2026-05-08). Returns CSAF/CVRF-style Cisco/Ivanti/Apache/MOVEit/PAN-OS advisories with publication and last-upd
- anssi-fr | ANSSI / CERT-FR | https://www.cert.ssi.gouv.fr/ | reliability=HIGH | cat=ch-eu,gov,active-breaking | fetch=webfetch | notes: French national cybersecurity agency. WebFetch on the root works; for machine-readable lists prefer the RSS feeds at https://www.cert.ssi.gouv.fr/avis/feed/ (ad
- apple-security | Apple Security Advisories | https://support.apple.com/en-us/100100 | reliability=HIGH | cat=vulns,vendor-psirt | fetch=webfetch | notes: Apple platform security releases (iOS / iPadOS / macOS / Safari) — primary citation for ITW-exploited Apple 0-days (added 2026-05-08). 2026-05-08 audit: WebFetc
- bsi-de | BSI Germany — CERT-Bund WID (RSS) | https://wid.cert-bund.de/content/public/securityAdvisory/rss | reliability=HIGH | cat=ch-eu,gov,active-breaking,vulns | fetch=rss | notes: Federal Office for Information Security (Germany), CERT-Bund's WID advisory portal. The /portal/wid/kurzinformationen page is a JS-rendered SPA (WebFetch return
- cert-eu | CERT-EU | https://cert.europa.eu/publications/security-advisories | reliability=HIGH | cat=ch-eu,gov,active-breaking | fetch=webfetch | notes: Computer Emergency Response Team for EU institutions. URL CORRECTED 2026-05-08: /publications root is a navigation page only — sub-agents repeatedly returned a 
- cert-pl | CERT Polska / NASK | https://cert.pl/en/news/ | reliability=HIGH | cat=ch-eu,gov,active-breaking | fetch=webfetch | notes: Polish CERT — strong on Russia-adjacent threats and OT incidents. 2026-05-08 audit: WebFetch returned 5 dated posts incl. 'Annual report 2025' 2026-04-08.
- chrome-releases | Chrome Releases (Security Updates) | https://chromereleases.googleblog.com/ | reliability=HIGH | cat=vulns,vendor-psirt | fetch=webfetch | notes: Chrome / ChromeOS Stable & Beta channel releases — primary citation for Chrome 0-day fixes (added 2026-05-08). Filter for 'Stable Channel Update' posts that ref
- cisa-advisories | CISA Cybersecurity Advisories | https://www.cisa.gov/news-events/cybersecurity-advisories | reliability=HIGH | cat=active-breaking,gov | fetch=bridge | notes: US government joint advisories often co-signed with allied CERTs (UK NCSC, ACSC AU, NCSC-NZ, CCCS CA, BSI DE, CERT-EU). WebFetch is reliably HTTP 403 on cisa.go
- cisa-directives | CISA Directives | https://www.cisa.gov/news-events/directives | reliability=HIGH | cat=gov,active-breaking | fetch=bridge | notes: Binding Operational Directives and Emergency Directives — high-priority defender signal. WebFetch HTTP 403 (re-confirmed 2026-05-08). REQUIRED: `python3 tools/f
- cisa-kev | CISA Known Exploited Vulnerabilities Catalog | https://www.cisa.gov/known-exploited-vulnerabilities-catalog | reliability=HIGH | cat=vulns,active-breaking | fetch=api | notes: Authoritative for actively-exploited vulns with federal remediation deadlines. WebFetch is reliably HTTP 403 on this host (transport-side block on the routine U
- cisco-psirt | Cisco PSIRT (RSS) | https://sec.cloudapps.cisco.com/security/center/psirtrss20/CiscoSecurityAdvisory.xml | reliability=HIGH | cat=vulns,vendor-psirt | fetch=rss | notes: Cisco Product Security Incident Response Team feed (added 2026-05-08). 2026-05-08 audit: 5 dated advisories May 6 2026 (Unity Connection RCE, ISE auth bypass, e
- greynoise | GreyNoise Labs | https://www.greynoise.io/blog | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Mass-scanning and opportunistic-exploitation telemetry.
- jpcert | JPCERT/CC (Japan) | https://www.jpcert.or.jp/english/index.html | reliability=HIGH | cat=gov,active-breaking | fetch=webfetch | notes: Japan Computer Emergency Response Team Coordination Center — primary Asian-region government CTI; strong on DPRK / China-aligned campaigns and Patch-Tuesday ale
- mozilla-mfsa | Mozilla Foundation Security Advisories | https://www.mozilla.org/en-US/security/advisories/ | reliability=HIGH | cat=vulns,vendor-psirt | fetch=webfetch | notes: Firefox / Thunderbird / Firefox ESR security advisories (added 2026-05-08). 2026-05-08 audit: WebFetch returned 5 dated MFSA-2026-NN advisories all 2026-05-07/0
- ncsc-ch-incidents | NCSC Switzerland — Aktuelle Vorfälle | https://www.ncsc.admin.ch/ncsc/de/home/aktuell/aktuelle-vorfaelle.html | reliability=HIGH | cat=ch-eu,active-breaking,gov | fetch=webfetch | notes: Swiss NCSC current incidents page (German). Translate findings to English in the brief. | 2026-05-08 audit: WebFetch returned 5 dated incidents incl. e-vignette
