2026-09-05T04:14:36Z	https://www.inside-it.ch/rss.xml	attempt
https://www.heise.de/security/feed.xml	200	2026-09-05T04:15:00Z
https://www.inside-it.ch/rss.xml	200	2026-09-05T04:15:00Z
https://thedfirreport.com/feed/	200	2026-09-05T04:15:00Z
https://feeds.feedburner.com/akamai/blog	200	2026-09-05T04:15:00Z
https://blog.exodusintel.com/feed/	200	2026-09-05T04:15:00Z
https://ps.tc/	200	2026-09-05T04:20:00Z
https://ps.tc/pages/blog.html	200	2026-09-05T04:20:00Z
https://www.vulncheck.com/blog	200	2026-09-05T04:25:00Z
https://www.zerodayinitiative.com/blog/	200	2026-09-05T04:25:00Z
https://www.sygnia.co/blog/	200	2026-09-05T04:25:00Z
https://www.trellix.com/blogs/	200	2026-09-05T04:28:00Z
https://censys.com/resources/blog/	200	2026-09-05T04:28:00Z
https://gambit.security/news-resources	200	2026-09-05T04:28:00Z
https://www.aikido.dev/blog	200	2026-09-05T04:29:00Z
https://labs.cloudsecurityalliance.org/research/	200	2026-09-05T04:30:00Z
https://depthfirst.com	200	2026-09-05T04:31:00Z
https://depthfirst.com/research	200	2026-09-05T04:44:00Z
https://blog.talosintelligence.com/rss/	200	2026-09-05T04:36:00Z
https://unit42.paloaltonetworks.com/feed/	200	2026-09-05T04:36:00Z
https://securelist.com/feed/	200	2026-09-05T04:36:00Z
https://securelist.com/toy-ghouls-new-hivemq-and-element-backdoors/121270/	200	2026-09-05T04:42:00Z
https://www.heise.de/security/feed.xml	200	2026-09-05T04:20:48Z
https://www.inside-it.ch/rss.xml	200	2026-09-05T04:20:48Z
https://feeds.feedburner.com/TroyHunt	200	2026-09-05T04:20:48Z
https://www.darkreading.com/rss.xml	200	2026-09-05T04:20:48Z
https://www.cyberattaque.org/feed/	200	2026-09-05T04:20:48Z
https://www.cyberattaque.org/association-des-maires-de-france-114-000-lignes-en-fuite-apres-une-cyberattaque/	200	2026-09-05T04:20:48Z
https://cyberscoop.com/feed/	200	2026-09-05T04:20:48Z
https://www.schneier.com/feed/atom/	200	2026-09-05T04:20:48Z
https://venarix.com/blog	200	2026-09-05T04:20:48Z
https://ransom-isac.org/blog/	200	2026-09-05T04:20:48Z
https://securityaffairs.com/	200	2026-09-05T04:20:48Z
https://blog.senthorus.ch	200	2026-09-05T04:20:48Z
https://zaufanatrzeciastrona.pl/	200	2026-09-05T04:20:48Z
https://zaufanatrzeciastrona.pl/feed	200	2026-09-05T04:20:48Z
https://www.cyberattaque.org/ville-de-libercourt-817-go-de-donnees-revendiquesapres-une-cyberattaque/	200	2026-09-05T04:20:48Z
https://securityaffairs.com/198388/security/dark-web-service-nexus-sells-153m-drivers-licenses.html	200	2026-09-05T04:20:48Z
https://securityaffairs.com/198447/data-breach/crooks-behind-manchester-airports-group-hack-leaked-data-of-8-8-million-people.html	200	2026-09-05T04:20:48Z
https://securityaffairs.com/198250/data-breach/attackers-access-aesto-health-aws-infrastructure-exposing-9-5-million-records.html	200	2026-09-05T04:20:48Z
https://cyberinsider.com	200	2026-09-05T04:20:48Z
https://dcod.ch/	200	2026-09-05T04:20:48Z
https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/	200	2026-09-05T04:20:48Z
https://www.cisa.gov/news-events/news	200	2026-09-05T04:20:48Z
https://cyberinsider.com/coca-cola-discloses-ransomware-attack-disrupting-fairlife-production-in-the-us/	200	2026-09-05T04:20:48Z
https://ico.org.uk/sitemap.xml	200	2026-09-05T04:20:48Z
https://news.bostonscientific.com/update-on-recent-cybersecurity-incident	200	2026-09-05T04:20:48Z
